Number of Pokemon Cards in a Deck of 60,Chance (%) of Drawing a Pokemon Card in Opening Hand
1,11.61%
2,22.61%
3,31.819999999999997%
4,40.12%
5,47.980000000000004%
6,55.14%
7,59.730000000000004%
8,65.0%
9,70.33%
10,74.29%
11,77.34%
12,80.99%
13,83.67999999999999%
14,86.2%
15,88.08%
16,89.72%
17,91.5%
18,93.08999999999999%
19,94.17%
20,95.65%
21,95.83%
22,96.89999999999999%
23,97.38%
24,97.92999999999999%
25,98.0%
26,98.63%
27,99.02%
28,99.28%
29,99.35000000000001%
30,99.56%
31,99.64%
32,99.6%
33,99.74%
34,99.79%
35,99.81%
36,99.92%
37,99.94%
38,99.92999999999999%
39,99.98%
40,99.99%
41,99.99%
42,99.98%
43,99.99%
44,99.99%
45,99.98%
46,99.98%
47,99.99%
48,99.99%
49,99.99%
50,99.99%
51,99.99%
52,99.99%
53,99.99%
54,99.99%
55,99.99%
56,99.99%
57,99.99%
58,99.99%
59,99.99%
